"User_ID","Pages_Viewed","Time_Spent_Minutes","Conversion"
436,166,225,"Yes"
631,437,241,"Yes"
767,420,648,"No"
743,110,777,"No"
608,359,678,"Yes"
73,168,749,"Yes"
901,354,787,"No"
531,33,28,"Yes"
318,457,169,"No"
669,453,668,"No"
873,42,873,"No"
940,73,699,"No"
358,339,415,"No"
545,306,685,"No"
742,74,651,"Yes"
783,346,926,"Yes"
65,267,321,"No"
428,476,980,"No"
884,146,787,"Yes"
14,301,257,"No"
876,49,241,"Yes"
123,62,798,"Yes"
661,93,472,"Yes"
408,405,209,"No"
372,204,760,"No"
287,454,367,"Yes"
633,464,995,"Yes"
462,68,281,"No"
599,41,93,"Yes"
295,319,458,"No"
247,445,126,"Yes"
20,307,416,"Yes"
138,123,271,"No"
273,84,558,"Yes"
283,245,329,"Yes"
888,310,392,"Yes"
277,362,276,"No"
498,129,476,"No"
675,493,770,"Yes"
429,376,509,"Yes"
979,260,894,"No"
107,337,124,"Yes"
470,46,252,"No"
546,438,673,"Yes"
673,348,132,"Yes"
42,93,656,"Yes"
818,145,729,"No"
800,422,21,"Yes"
277,6,380,"No"
554,220,141,"Yes"
882,137,763,"Yes"
518,312,894,"No"
541,430,158,"Yes"
876,452,935,"No"
917,405,976,"Yes"
293,240,479,"Yes"
96,401,2,"Yes"
743,389,220,"Yes"
580,205,79,"Yes"
415,53,571,"Yes"
719,219,50,"No"
908,220,535,"Yes"
804,39,897,"No"
270,288,934,"Yes"
803,485,971,"No"
558,308,844,"Yes"
559,390,520,"No"
675,205,693,"Yes"
120,81,805,"Yes"
207,386,150,"No"
259,384,440,"Yes"
977,465,959,"No"
41,266,165,"Yes"
624,277,218,"No"
599,88,906,"Yes"
618,413,969,"No"
531,390,965,"Yes"
403,286,752,"No"
924,110,897,"No"
234,412,611,"No"
16,155,324,"No"
735,386,850,"No"
291,262,763,"Yes"
260,345,777,"Yes"
38,392,692,"Yes"
940,214,356,"Yes"
162,190,100,"No"
934,478,884,"No"
251,492,278,"Yes"
707,421,124,"Yes"
685,322,31,"Yes"
799,14,599,"Yes"
508,34,887,"Yes"
235,142,808,"Yes"
18,294,577,"Yes"
784,295,911,"Yes"
76,423,810,"No"
23,211,965,"Yes"
961,482,147,"Yes"
230,228,113,"Yes"
122,279,941,"Yes"
939,171,493,"Yes"
732,188,495,"Yes"
632,379,618,"No"
909,157,799,"Yes"
669,338,714,"No"
885,375,927,"No"
349,100,714,"Yes"
106,306,680,"No"
577,305,617,"Yes"
36,460,471,"No"
782,365,319,"Yes"
296,310,282,"No"
792,462,358,"No"
15,372,153,"No"
419,113,938,"No"
543,368,420,"Yes"
683,205,713,"Yes"
304,284,96,"Yes"
119,160,646,"Yes"
391,3,664,"Yes"
249,473,605,"Yes"
132,49,489,"No"
838,300,268,"No"
226,446,588,"No"
736,86,193,"Yes"
698,56,246,"Yes"
385,239,354,"No"
891,235,98,"No"
914,54,478,"Yes"
229,278,220,"Yes"
974,151,554,"No"
355,478,704,"No"
133,165,784,"No"
955,12,142,"Yes"
298,48,100,"Yes"
877,394,121,"Yes"
845,275,291,"Yes"
756,54,335,"Yes"
638,130,841,"No"
138,429,380,"No"
119,464,449,"Yes"
506,278,276,"Yes"
792,225,270,"Yes"
127,218,760,"Yes"
268,37,336,"No"
399,306,132,"No"
537,322,385,"No"
512,409,768,"Yes"
950,195,126,"Yes"
84,193,920,"Yes"
164,409,603,"Yes"
675,46,985,"No"
164,316,209,"Yes"
169,133,495,"No"
805,249,26,"Yes"
252,220,632,"Yes"
819,322,624,"No"
648,127,217,"No"
544,167,198,"No"
713,220,579,"Yes"
396,415,80,"No"
984,151,187,"No"
773,300,980,"No"
595,421,799,"No"
602,392,644,"Yes"
420,330,244,"No"
256,80,288,"Yes"
25,281,660,"Yes"
362,256,545,"Yes"
901,128,933,"No"
403,61,876,"No"
972,249,848,"No"
242,266,586,"No"
988,342,662,"No"
898,13,207,"Yes"
501,211,651,"No"
738,203,612,"No"
763,463,563,"Yes"
620,127,451,"Yes"
476,408,246,"No"
108,104,228,"No"
654,123,649,"Yes"
965,381,747,"Yes"
302,254,229,"Yes"
354,482,881,"No"
524,325,763,"No"
880,57,847,"No"
281,196,375,"No"
101,102,477,"No"
946,192,744,"No"
582,405,513,"No"
57,358,566,"Yes"
871,396,836,"No"
106,234,592,"No"
558,215,804,"Yes"
221,161,508,"No"
122,241,843,"No"
670,53,984,"No"
129,406,141,"Yes"
43,441,455,"Yes"
103,311,701,"No"
427,194,846,"Yes"
962,331,481,"Yes"
791,17,790,"Yes"
290,26,268,"No"
394,234,964,"No"
328,370,420,"Yes"
388,36,332,"Yes"
810,239,297,"No"
18,425,615,"Yes"
577,259,166,"No"
843,498,958,"Yes"
417,431,473,"No"
785,440,241,"Yes"
80,318,853,"No"
648,460,444,"Yes"
751,413,130,"No"
709,1,963,"Yes"
981,227,166,"No"
520,209,759,"No"
480,5,10,"No"
433,135,846,"Yes"
432,172,946,"Yes"
984,397,621,"Yes"
683,406,477,"Yes"
535,313,341,"Yes"
506,438,227,"No"
176,317,858,"No"
525,284,447,"Yes"
125,182,696,"Yes"
525,88,676,"No"
912,116,498,"No"
803,392,464,"Yes"
787,300,488,"No"
685,308,621,"Yes"
419,229,944,"Yes"
668,49,746,"Yes"
872,112,33,"Yes"
791,341,642,"Yes"
81,235,670,"Yes"
818,17,261,"No"
1000,131,144,"Yes"
252,377,200,"No"
955,412,222,"Yes"
520,90,804,"Yes"
672,343,751,"Yes"
935,191,349,"No"
82,450,291,"Yes"
859,26,565,"Yes"
700,268,235,"No"
135,480,93,"Yes"
44,249,429,"Yes"
854,404,487,"No"
465,176,262,"Yes"
377,325,277,"Yes"
223,427,516,"No"
324,231,438,"No"
86,244,697,"Yes"
382,12,874,"No"
724,230,846,"Yes"
187,192,733,"No"
308,172,105,"No"
743,210,245,"No"
292,74,916,"No"
619,191,286,"Yes"
26,228,921,"No"
376,114,428,"No"
144,151,746,"No"
480,107,101,"No"
535,181,54,"No"
543,491,360,"Yes"
168,391,875,"Yes"
433,118,442,"Yes"
505,205,8,"No"
867,213,710,"No"
44,144,135,"No"
516,22,825,"Yes"
414,144,130,"No"
695,259,515,"Yes"
66,165,742,"No"
781,259,499,"Yes"
831,80,21,"Yes"
640,189,205,"No"
578,240,914,"No"
179,130,868,"Yes"
484,18,296,"No"
750,56,380,"Yes"
865,36,68,"No"
231,44,349,"No"
470,215,776,"Yes"
748,106,452,"No"
469,245,284,"Yes"
777,37,529,"Yes"
122,484,190,"Yes"
197,484,717,"No"
145,347,797,"Yes"
395,313,232,"Yes"
372,316,312,"Yes"
142,109,884,"Yes"
89,423,257,"No"
832,83,300,"Yes"
10,1,774,"Yes"
601,3,524,"Yes"
995,192,415,"Yes"
131,81,117,"No"
177,43,799,"No"
386,461,189,"No"
479,453,194,"Yes"
625,236,393,"Yes"
519,380,167,"No"
564,174,998,"No"
614,399,713,"Yes"
873,406,333,"Yes"
769,171,28,"Yes"
688,222,371,"Yes"
371,102,571,"No"
547,445,1,"No"
963,98,709,"No"
289,373,791,"Yes"
420,429,651,"No"
475,431,685,"No"
177,389,573,"No"
386,412,169,"Yes"
719,192,902,"Yes"
987,357,673,"No"
24,395,170,"No"
869,97,521,"Yes"
456,81,908,"Yes"
124,58,339,"No"
295,375,662,"No"
382,188,757,"Yes"
3,124,800,"Yes"
398,59,615,"No"
819,240,922,"No"
736,113,329,"Yes"
265,55,1,"No"
929,326,188,"Yes"
991,170,652,"Yes"
578,451,806,"No"
116,134,936,"Yes"
808,351,48,"No"
431,380,759,"No"
613,498,381,"No"
141,226,836,"Yes"
270,401,578,"Yes"
52,289,880,"Yes"
93,121,709,"No"
800,66,532,"No"
53,259,319,"Yes"
71,203,972,"No"
361,421,587,"Yes"
44,345,95,"No"
323,109,605,"No"
754,316,538,"Yes"
507,156,159,"No"
265,122,133,"No"
632,420,449,"No"
278,170,730,"No"
865,208,599,"Yes"
757,187,627,"Yes"
786,439,453,"No"
542,257,226,"No"
126,104,628,"Yes"
441,373,170,"Yes"
339,493,795,"Yes"
530,20,481,"Yes"
769,159,616,"Yes"
944,263,415,"Yes"
825,65,392,"No"
472,85,189,"Yes"
617,182,739,"Yes"
961,107,188,"No"
423,482,725,"No"
14,31,869,"No"
954,103,460,"Yes"
172,176,848,"No"
535,313,292,"No"
271,141,934,"Yes"
73,450,86,"No"
789,316,386,"No"
997,370,491,"No"
776,87,299,"No"
756,245,103,"Yes"
47,58,776,"Yes"
756,356,706,"No"
148,426,108,"Yes"
241,273,170,"Yes"
813,27,258,"No"
164,490,81,"No"
113,456,309,"No"
316,8,742,"No"
479,174,243,"Yes"
551,263,778,"No"
659,281,660,"No"
960,432,213,"No"
317,18,533,"No"
784,205,749,"Yes"
380,75,800,"Yes"
444,99,355,"Yes"
163,482,135,"Yes"
197,305,767,"Yes"
822,301,570,"Yes"
27,417,906,"No"
525,74,284,"No"
996,479,650,"Yes"
231,272,609,"No"
874,40,998,"Yes"
600,456,768,"No"
299,188,131,"Yes"
716,24,967,"Yes"
639,41,270,"Yes"
292,444,309,"No"
735,61,55,"Yes"
223,319,777,"No"
466,232,303,"Yes"
3,160,999,"Yes"
281,258,439,"No"
783,116,946,"Yes"
632,148,191,"No"
223,100,128,"Yes"
626,63,424,"No"
430,212,35,"Yes"
436,189,776,"Yes"
847,334,880,"Yes"
264,487,799,"Yes"
584,103,814,"No"
31,14,991,"No"
894,86,299,"Yes"
662,381,546,"No"
867,37,429,"Yes"
479,308,74,"No"
561,350,9,"No"
549,281,600,"Yes"
348,117,193,"No"
194,413,132,"No"
536,219,129,"No"
739,408,256,"Yes"
819,444,974,"Yes"
240,47,953,"No"
589,87,636,"Yes"
987,252,153,"No"
396,249,424,"Yes"
492,328,383,"No"
310,97,375,"No"
426,364,68,"No"
498,212,745,"Yes"
503,162,648,"No"
928,58,129,"Yes"
619,124,653,"No"
483,481,558,"No"
551,126,374,"No"
165,288,600,"Yes"
166,77,455,"Yes"
224,71,397,"Yes"
509,275,670,"Yes"
365,76,10,"No"
49,481,213,"Yes"
54,431,579,"Yes"
203,433,321,"No"
977,220,846,"Yes"
255,34,572,"Yes"
987,37,771,"No"
441,20,80,"No"
540,433,102,"No"
524,472,443,"Yes"
486,57,850,"Yes"
743,416,145,"Yes"
384,480,496,"No"
213,192,57,"No"
597,53,777,"No"
245,76,527,"Yes"
435,348,369,"No"
403,379,992,"Yes"
928,434,629,"No"
594,226,302,"No"
362,142,49,"No"
493,46,654,"No"
621,471,539,"No"
519,334,156,"No"
269,425,879,"Yes"
521,385,619,"Yes"
973,80,377,"No"
214,124,19,"Yes"
700,356,367,"No"
816,197,234,"Yes"
444,355,514,"Yes"
37,402,84,"No"
501,149,387,"No"
915,480,993,"No"
16,11,76,"No"
46,274,262,"Yes"
22,81,663,"Yes"
550,223,302,"Yes"
924,42,187,"No"
418,190,244,"Yes"
878,333,930,"Yes"
257,52,127,"Yes"
332,500,293,"Yes"
17,378,254,"No"
416,200,573,"Yes"
928,387,742,"No"
82,253,247,"Yes"
326,202,420,"No"
793,357,221,"Yes"
630,336,166,"Yes"
293,416,858,"Yes"
325,111,66,"Yes"
991,320,518,"Yes"
155,193,963,"No"
364,29,293,"No"
118,328,595,"Yes"
532,125,773,"No"
883,19,62,"No"
505,446,561,"Yes"
518,358,418,"Yes"
425,427,180,"Yes"
664,172,18,"No"
564,464,722,"No"
734,493,207,"Yes"
480,429,785,"No"
654,355,115,"Yes"
812,396,811,"Yes"
39,395,552,"Yes"
459,464,464,"Yes"
681,500,456,"No"
585,183,503,"No"
671,446,599,"No"
477,320,480,"Yes"
250,189,972,"Yes"
225,485,165,"Yes"
412,387,331,"No"
305,444,759,"Yes"
862,398,479,"Yes"
749,242,917,"No"
597,490,603,"No"
808,224,648,"Yes"
302,88,902,"Yes"
241,438,385,"Yes"
728,205,525,"No"
213,466,287,"Yes"
573,18,507,"No"
559,15,435,"Yes"
692,109,523,"No"
437,411,498,"No"
683,341,704,"Yes"
828,457,76,"Yes"
203,36,327,"No"
269,360,483,"No"
17,399,531,"Yes"
862,79,228,"Yes"
356,319,9,"Yes"
412,392,900,"Yes"
56,421,531,"Yes"
586,289,823,"No"
287,418,208,"No"
126,156,623,"Yes"
623,327,506,"No"
668,196,952,"Yes"
861,438,868,"Yes"
225,487,719,"Yes"
247,459,486,"No"
252,116,820,"No"
426,255,707,"No"
636,315,934,"Yes"
494,393,657,"No"
726,440,885,"No"
463,153,30,"Yes"
333,262,697,"Yes"
182,148,783,"No"
960,250,647,"No"
99,168,851,"Yes"
533,275,913,"No"
56,148,445,"No"
883,457,14,"Yes"
201,374,74,"No"
709,173,176,"Yes"
257,312,25,"No"
256,362,267,"No"
769,391,199,"Yes"
739,307,690,"No"
621,286,353,"Yes"
592,246,336,"Yes"
574,164,265,"No"
248,474,602,"No"
999,88,95,"No"
960,398,645,"No"
39,256,413,"Yes"
530,254,178,"No"
404,261,886,"Yes"
287,474,293,"Yes"
647,493,782,"No"
1000,494,46,"No"
356,347,753,"No"
902,35,488,"No"
498,494,153,"No"
881,148,800,"No"
762,471,36,"No"
220,98,60,"No"
767,184,192,"No"
27,170,756,"Yes"
91,67,432,"Yes"
492,5,113,"No"
442,286,709,"Yes"
323,87,8,"No"
453,151,415,"No"
538,368,367,"No"
758,174,989,"No"
79,172,134,"No"
190,275,204,"Yes"
968,305,524,"No"
963,99,973,"No"
762,5,442,"No"
768,255,925,"Yes"
575,76,691,"Yes"
894,240,630,"No"
60,280,200,"Yes"
605,236,720,"No"
362,438,982,"No"
806,209,272,"Yes"
698,109,427,"Yes"
270,229,440,"Yes"
844,294,933,"Yes"
307,281,210,"Yes"
552,178,492,"No"
717,260,43,"Yes"
565,171,482,"Yes"
181,499,733,"No"
762,84,943,"Yes"
960,479,878,"No"
545,428,58,"No"
55,389,444,"Yes"
780,147,13,"No"
658,209,455,"Yes"
882,262,750,"Yes"
688,202,402,"No"
442,200,263,"Yes"
588,488,532,"No"
679,38,329,"Yes"
474,203,788,"No"
294,468,259,"Yes"
977,320,623,"No"
835,498,201,"No"
640,452,475,"No"
819,480,683,"No"
320,480,421,"No"
118,398,582,"Yes"
452,90,605,"Yes"
799,302,995,"Yes"
44,103,796,"Yes"
136,268,76,"No"
136,156,784,"Yes"
140,221,333,"Yes"
119,171,325,"No"
106,357,819,"Yes"
95,196,588,"Yes"
460,224,706,"No"
728,295,862,"No"
763,164,608,"Yes"
440,415,756,"No"
20,266,759,"Yes"
309,149,77,"No"
286,152,65,"Yes"
518,171,852,"No"
562,123,14,"No"
828,333,479,"No"
417,298,47,"No"
295,109,126,"No"
595,3,209,"Yes"
377,180,238,"No"
636,287,196,"Yes"
414,130,435,"Yes"
254,401,943,"Yes"
172,229,582,"Yes"
470,317,634,"No"
825,235,273,"No"
579,443,19,"Yes"
313,222,409,"No"
575,74,387,"No"
36,476,540,"Yes"
116,33,434,"No"
47,357,922,"Yes"
780,25,833,"No"
399,18,65,"Yes"
736,241,746,"Yes"
897,382,997,"Yes"
701,125,279,"No"
469,400,926,"Yes"
62,270,844,"Yes"
896,9,883,"Yes"
203,460,571,"Yes"
981,469,323,"No"
114,56,943,"No"
581,5,723,"Yes"
5,130,754,"No"
337,234,294,"No"
62,476,264,"No"
873,395,969,"No"
964,193,138,"No"
117,73,317,"No"
838,252,184,"No"
536,420,693,"No"
294,421,264,"No"
747,361,944,"Yes"
772,386,604,"No"
842,467,483,"Yes"
150,464,451,"No"
190,297,764,"No"
480,327,483,"No"
54,178,252,"Yes"
102,378,375,"Yes"
223,328,195,"Yes"
691,484,106,"No"
398,284,380,"No"
170,104,659,"No"
478,464,52,"Yes"
358,458,649,"Yes"
239,85,287,"No"
589,21,362,"No"
164,193,995,"Yes"
39,45,768,"No"
892,362,40,"Yes"
50,259,284,"Yes"
304,378,740,"Yes"
966,247,350,"Yes"
608,129,469,"No"
467,281,72,"No"
839,236,762,"Yes"
926,14,625,"Yes"
932,414,93,"No"
27,455,445,"No"
875,274,992,"No"
732,156,429,"Yes"
303,214,601,"Yes"
652,221,159,"No"
497,455,433,"No"
687,237,927,"Yes"
940,121,370,"Yes"
180,204,327,"Yes"
692,477,807,"Yes"
189,117,799,"No"
924,3,13,"No"
8,113,141,"No"
950,136,513,"Yes"
290,464,324,"No"
736,497,123,"Yes"
699,196,767,"Yes"
787,264,282,"No"
838,335,715,"No"
641,207,348,"Yes"
96,143,992,"No"
235,27,456,"No"
637,165,511,"No"
277,259,247,"Yes"
880,461,738,"Yes"
230,258,261,"No"
316,138,74,"Yes"
768,300,632,"No"
175,291,890,"No"
266,392,676,"Yes"
278,427,64,"Yes"
460,394,38,"No"
541,466,286,"No"
468,492,230,"Yes"
569,2,381,"Yes"
417,488,192,"No"
41,143,957,"Yes"
290,400,543,"No"
100,385,560,"Yes"
200,326,6,"No"
288,215,614,"No"
875,356,427,"No"
740,52,557,"No"
203,306,360,"No"
431,249,794,"Yes"
883,295,980,"Yes"
542,454,855,"No"
945,345,721,"No"
312,497,691,"Yes"
84,195,739,"No"
315,468,437,"Yes"
661,317,165,"No"
682,104,877,"Yes"
497,378,54,"No"
908,448,706,"No"
710,58,110,"No"
127,470,440,"No"
60,348,552,"No"
960,390,590,"Yes"
451,341,787,"No"
301,201,285,"No"
211,360,709,"Yes"
342,385,652,"No"
759,123,429,"Yes"
666,167,15,"No"
866,407,921,"Yes"
395,245,996,"Yes"
145,59,212,"Yes"
608,63,711,"No"
346,244,679,"No"
951,496,466,"Yes"
698,315,558,"Yes"
104,153,386,"No"
226,307,476,"No"
414,2,852,"No"
649,215,278,"No"
435,157,383,"Yes"
255,478,916,"Yes"
754,413,481,"No"
373,500,140,"No"
881,221,210,"No"
784,311,470,"No"
895,367,544,"No"
867,109,57,"No"
668,386,538,"Yes"
175,88,757,"Yes"
916,426,910,"Yes"
3,303,917,"Yes"
751,82,257,"No"
189,46,834,"No"
361,402,174,"No"
443,389,710,"Yes"
271,85,580,"Yes"
594,333,821,"No"
963,395,854,"No"
309,370,255,"Yes"
428,353,657,"No"
473,176,164,"Yes"
141,369,565,"Yes"
499,227,255,"Yes"
172,252,649,"No"
382,121,675,"No"
336,215,34,"No"
702,239,228,"No"
233,469,996,"No"
35,267,279,"Yes"
473,107,664,"Yes"
189,330,319,"No"
856,184,643,"Yes"
994,81,981,"Yes"
437,408,889,"Yes"
28,388,166,"Yes"
640,24,351,"No"
392,417,317,"Yes"
859,456,965,"No"
162,401,637,"Yes"
755,475,302,"Yes"
829,65,666,"No"
802,150,606,"No"
357,163,957,"No"
635,223,993,"Yes"
55,405,572,"No"
271,343,675,"No"
828,167,968,"No"
37,334,461,"Yes"
263,183,755,"No"
470,81,816,"Yes"
15,223,53,"No"
180,348,886,"Yes"
236,463,460,"No"
255,379,375,"No"
32,18,506,"No"
287,264,617,"No"
927,84,326,"Yes"
15,244,470,"No"
155,282,460,"Yes"
103,378,662,"No"
325,307,937,"No"
50,391,306,"Yes"
657,418,946,"No"
908,12,542,"No"
648,461,517,"Yes"
45,281,298,"No"
671,318,177,"No"
313,156,245,"Yes"
465,462,482,"Yes"
614,207,267,"No"
832,353,856,"No"
507,382,5,"No"
891,142,22,"No"
34,452,972,"No"
3,35,47,"Yes"
937,311,677,"Yes"
676,167,68,"Yes"
258,161,915,"Yes"
118,31,741,"Yes"
288,158,595,"Yes"
75,60,633,"Yes"
602,362,342,"Yes"
946,279,194,"Yes"
977,416,245,"Yes"
377,359,476,"Yes"
581,266,980,"No"
775,349,445,"Yes"
338,167,831,"Yes"
160,159,153,"Yes"
460,72,277,"No"
747,82,260,"Yes"
203,123,410,"Yes"
341,9,490,"No"
186,174,348,"No"
101,226,874,"Yes"
805,79,902,"Yes"
775,58,700,"No"
553,343,431,"Yes"
348,369,661,"No"
411,185,38,"Yes"
950,57,325,"Yes"
401,67,337,"Yes"
202,414,414,"Yes"
682,266,208,"Yes"
537,461,903,"No"
670,480,635,"Yes"
88,405,290,"No"
675,25,352,"No"
508,497,992,"Yes"
338,7,363,"Yes"
9,393,916,"Yes"
318,6,420,"No"
659,403,679,"No"
304,351,671,"No"
155,500,332,"Yes"
899,335,844,"No"
589,463,948,"No"
721,76,3,"Yes"
88,364,788,"No"
849,44,847,"No"
221,110,127,"No"
270,402,455,"No"
384,400,609,"No"
361,495,369,"Yes"
867,74,814,"No"
55,232,213,"No"
151,309,748,"No"
529,358,924,"No"
20,239,692,"No"
572,14,730,"Yes"
651,235,697,"No"
360,229,151,"Yes"
833,227,107,"No"
219,150,349,"No"
490,317,61,"No"
673,175,547,"Yes"
471,40,169,"Yes"
877,179,92,"Yes"
867,225,348,"No"
552,178,592,"No"
827,275,240,"Yes"
293,369,623,"Yes"
882,116,452,"No"
337,23,660,"Yes"
519,221,129,"Yes"
487,400,240,"No"
428,6,626,"No"
655,120,930,"Yes"
404,114,143,"Yes"
38,195,594,"Yes"
581,496,768,"Yes"
376,126,831,"Yes"
74,426,205,"No"
223,405,321,"No"
106,107,49,"Yes"
566,427,612,"No"
498,262,167,"No"
298,155,626,"Yes"
254,226,990,"Yes"
902,365,51,"No"
539,308,306,"No"
884,308,889,"Yes"
258,209,644,"Yes"
891,24,998,"No"
68,355,605,"Yes"
712,469,220,"No"
47,319,363,"No"
403,449,680,"No"
175,478,611,"Yes"
854,351,667,"No"
851,195,726,"No"
39,268,26,"No"
137,108,996,"Yes"
420,68,345,"No"
28,144,214,"Yes"
357,109,638,"Yes"
387,476,477,"Yes"
587,421,581,"No"
758,237,546,"No"
458,361,475,"Yes"
293,45,185,"No"
758,486,448,"No"
534,175,605,"No"
915,161,674,"Yes"
745,101,981,"No"
776,305,922,"No"
418,88,756,"No"
281,197,690,"Yes"
546,490,729,"Yes"
220,437,905,"Yes"
316,370,418,"Yes"
56,276,382,"No"
788,328,862,"No"
663,249,36,"Yes"
832,213,433,"No"
816,303,621,"Yes"
466,357,20,"Yes"
698,411,463,"Yes"
926,67,218,"Yes"
993,149,773,"No"
162,73,583,"No"
280,338,835,"No"
156,157,322,"No"
773,7,822,"No"
622,335,775,"Yes"
654,282,347,"No"
909,305,229,"Yes"
251,447,43,"Yes"
139,400,774,"Yes"
835,404,21,"Yes"
233,189,530,"No"
112,312,62,"Yes"
21,368,515,"Yes"
19,64,166,"Yes"
499,115,546,"Yes"
793,277,236,"No"
403,153,273,"Yes"
835,21,8,"Yes"
41,26,38,"No"
761,463,876,"No"
372,390,72,"No"
970,13,338,"No"
669,5,201,"Yes"
874,292,883,"No"
759,11,290,"Yes"
974,219,908,"Yes"
413,336,692,"Yes"
637,284,924,"No"
865,284,524,"Yes"
710,424,869,"No"
199,243,991,"Yes"
607,205,641,"Yes"
906,368,815,"No"
753,449,823,"No"
